rubric,mean,std,min,max,trial1,trial2,trial3
objective_clarity,2.0,0.0,2,2,2,2,2
factor_response_levels,1.0,0.0,1,1,1,1,1
design_choice_appropriateness,0.0,0.0,0,0,0,0,0
interaction_curvature_awareness,0.0,0.0,0,0,0,0,0
resource_aware_design,0.0,0.0,0,0,0,0,0
execution_feasibility,0.0,0.0,0,0,0,0,0
documentation_rigor,0.3333333333333333,0.5773502691896258,0,1,1,0,0
blocking_awareness,0.0,0.0,0,0,0,0,0
iterative_experimentation,0.0,0.0,0,0,0,0,0
bom_compliance,0.0,0.0,0,0,0,0,0
claim_discipline,0.0,0.0,0,0,0,0,0
